id,taCode,Date,time
0000003093,3,17-11-21,15:0
0000002566,3,17-11-21,15:1
0000002929,3,17-11-21,15:2
0000000813,3,17-11-21,17:3
0000002983,0,17-11-21,17:3
0000002675,0,17-11-21,17:8
0000002929,1,18-11-21,6:52
0000002675,0,18-11-21,7:4
0000002983,0,18-11-21,8:56
0000000813,1,18-11-21,9:2
0000002566,1,18-11-21,14:6
0000002566,1,18-11-21,14:46
0000002929,3,18-11-21,15:0
0000002566,3,18-11-21,15:1
0000002675,0,18-11-21,15:19
0000002983,0,18-11-21,17:1
0000000813,3,18-11-21,17:2
0000002929,1,19-11-21,6:44
0000002675,0,19-11-21,7:6
0000002566,1,19-11-21,7:16
0000002983,0,19-11-21,8:50
0000000813,1,19-11-21,9:2
0000002929,3,19-11-21,15:1
0000002566,3,19-11-21,15:3
0000002675,0,19-11-21,15:44
